artist_name,is_indian
SUKRITI KAKKAR,True
Saad Lamjarred,False
RADWIMPS,False
Nathan Evans,False
Falak Shabbir,
Redbone,False
Tulsi Kumar,True
Shreya Ghoshal,True
ALKA YAGNIK,True
Jason Derulo,False
Shreya Ghoshal & M. G.Shreekumar,True
Adnan Sami,False
RDB & Manak-E,False
Kavita Krishnamurthy,True
KALEO,False
Vishal & Shekhar,True
Tata Young,False
Ramya Behara,True
Bee Gees,False
Vishal Bhardwaj,True
ANURADHA PAUDWAL,True
Babbu Mann,False
Jaspeert Singh,True
Vipasha Malhotra,True
Sean Paul,False
The Beach Boys,False
Imagine Dragons,False
Måneskin,False
Libianca,False
Neeti Mohan,True
Flo Rida,False
LUMBER,False
Rahul Sipligunj,True
Salim Sulaiman,True
Shakira,False
Mickey Singh,True
Katy Perry,False
Bombay Rockers,False
Jay Sean,False
Ajay - Atul,True
K Krishna Kumar & Chorus,False
PAPON,True
JAVED ALI,True
ATIF ASLAM,False
JUBIN NAUTIYAL,True
Mukesh,True
GOD IT,False
Joe Williams,False
Coldplay,False
The Kid LAROI,False
Marshmello,False
24kGoldn,False
AP Dhillon,False
Gym Class Heroes,False
Lil Nas X,False
MC Stan,False
John Newman,False
Jasleen Royal,False
B Praak,True
Harrdy Sandhu,True
Jigar Saraiya,True
Shekhar Ravjiani & Caralisa,True
Mohit Chauhan,True
Manoj Muntashir,True
ARIJIT SINGH,True
YASHITA SHARMA,True
Alia Bhatt,True
Sivam,
Ajay-Atul,True
Piyush Mishra,True
Anthony Gonzalez,False
Chelsea Collins,False
Lata Mangeshkar,True
ancient heiakim,False
Faridkot,True
LINKIN PARK,False
Palash Muchhal,
Mohit Chauhan & Taraannum Mallik,True
Kanishk Seth,
Dr Zeus,False
The Chainsmokers,False
Avicii,False
Dua Lipa,False
Jennifer Lopez,False
Blue,False
Wiz Khalifa,False
Camila Cabello,False
Alan Walker,False
Tones And I,False
Coke Studio Pakistan,False
Gajendra Verma,True
Pritam & Zubeen Garg,True
Prem & Hardeep,
Srinivas,True
JAVED BASHIR,True
Jagjit Singh,True
Himesh Reshammiya,True
Usher,False
Shahid Mallya,True
Benny Dayal & Himani Kapoor,False
50 Cent,False
Kesha,False
Boney M.,False
Abhay Jodhpurkar,True
Stebin Ben,True
Akhil,True
Rahat Fateh Ali Khan & Momina Mustehsan,False
ANKIT TIWARI,True
Aastha Gill,True
Anuradha Sriram,True
Clinton Cerejo | Shankar Mahadevan | Loy Mendonsa,False
A.R. RAHMAN,True
AMIT TRIVEDI,True
Jal,False
Zack Knight,False
Rekha Bhardwaj,True
AKHTAR CHANNAL,False
Farhan Akhtar,True
Adnan Dhool,False
Shamur,
OMER INAYAT & BAPPA LAHIRI,False
Mark Ronson,False
Shawn Mendes,False
Luis Fonsi,False
Charlie Puth,False
Alec Benjamin,False
Bombay Jayashree,
Harshit Saxena,True
Umesh Barot,
Lakh Data Peer Nuhon Colony,
CarryMinati,
Phillip Phillips,False
Jorah the Andal,False
Martin Rufer - pianist,False
Patrik Pietschmann,
Uncut Stories,False
Kimi Varasteh,
DAGMA,
Zee Music Company,
Anastasia Soina,False
The Swaying feets,False
